views,content,area,content_tokens
3,Sweets How ,1125,"['sweet', 'how']"
4,  ,0,[]
3,  ,0,[]
3,I 6AM school morning routine ,1195,"['i', '6am', 'school', 'morn', 'routin']"
2,  ,0,[]
3,NHi chahaiyes ,1400,"['nhi', 'chahaiy']"
3,a week in my life ,974,"['a', 'week', 'in', 'my', 'life']"
2,KONECNE HOTOW koupelna ,2023,"['konecn', 'hotow', 'koupelna']"
3,shopping + coffee shops day in my life living in LA ,1783,"['shop', '+', 'coffe', 'shop', 'day', 'in', 'my', 'life', 'live', 'in', 'la']"
4,  ,0,[]
3,  ,0,[]
4,  ,0,[]
2,uaily vlog ,1223,"['uaili', 'vlog']"
3,A YEAR OLDER! ,635,"['a', 'year', 'older', '!']"
3,"OXFORD ""UNIVERSITY move in vlog 2020 ",2386,"['oxford', '``', 'univers', 'move', 'in', 'vlog', '2020']"
3,a week in my life ,922,"['a', 'week', 'in', 'my', 'life']"
3,  ,0,[]
2,2FLT842 VLOG ,587,"['2flt842', 'vlog']"
4,GRADUATIONY ,910,['graduationi']
2,  ,0,[]
3,Meet our son ,2233,"['meet', 'our', 'son']"
2,VLOG Vikend chate na ,1492,"['vlog', 'vikend', 'chate', 'na']"
2,NA KOSMETICE of NAS NAKUP ,858,"['na', 'kosmetic', 'of', 'na', 'nakup']"
3,I'm Comfortable ,396,"['i', ""'m"", 'comfort']"
2,  ,0,[]
2,Ena Luna VLOG I PROMENI PITANJE ,859,"['ena', 'luna', 'vlog', 'i', 'promeni', 'pitanj']"
3,CAR ACCIDENT IN FRONT OF ME ,1019,"['car', 'accid', 'in', 'front', 'of', 'me']"
2,BRO KLAN ,322,"['bro', 'klan']"
3,CADE ,93,['cade']
2,DUBAI VLOG #4 santorint vibes ,784,"['dubai', 'vlog', '#', '4', 'santorint', 'vibe']"
2,universitanio esame cibo VLOGFirenze musei shopping foto ,2438,"['universitanio', 'esam', 'cibo', 'vlogfirenz', 'musei', 'shop', 'foto']"
4,  ,0,[]
3,Covishield? Covaxin? Sputnik ,620,"['covishield', '?', 'covaxin', '?', 'sputnik']"
2,Lockdown Routine ,3158,"['lockdown', 'routin']"
3,A DE ,883,"['a', 'de']"
3,NOS SEPARAMOC TODA VERDADE Aeropostale ORIGINAL EYE BRANG ,6160,"['no', 'separamoc', 'toda', 'verdad', 'aeropostal', 'origin', 'eye', 'brang']"
3,ve NHA ,223,"['ve', 'nha']"
2,UPSC PREP 12 36 INDIAN POLITY 12 am STUDY VLOG tips to read and memorise effectively Study_challenge? ,2086,"['upsc', 'prep', '12', '36', 'indian', 'politi', '12', 'am', 'studi', 'vlog', 'tip', 'to', 'read', 'and', 'memoris', 'effect', 'study_challeng', '?']"
3,vold CANTANDO Y ENTONANDO CON EL CAMPEON ,1526,"['vold', 'cantando', 'y', 'entonando', 'con', 'el', 'campeon']"
4,DG ,548,['dg']
3,Kiya gir gayah ,1398,"['kiya', 'gir', 'gayah']"
3,BTSH ,685,['btsh']
3,Nog no ,493,"['nog', 'no']"
3,600k done ,777,"['600k', 'done']"
2,"bienvenue dans ma vie RODE internat, routine, bac, tournage ",1019,"['bienvenu', 'dan', 'ma', 'vie', 'rode', 'internat', ',', 'routin', ',', 'bac', ',', 'tournag']"
3,Nasil spor haaa! yapiyorsun?! ,1545,"['nasil', 'spor', 'haaa', '!', 'yapiyorsun', '?', '!']"
3,  ,0,[]
1,part 4 6 6 olog Sp Adobe Spark ,1853,"['part', '4', '6', '6', 'olog', 'sp', 'adob', 'spark']"
3,Jinku WITH 'PINAKA' INTERVIEW WITH JINKEE PACOUIAO ,1023,"['jinku', 'with', ""'pinaka"", ""'"", 'interview', 'with', 'jinke', 'pacouiao']"
4,KAILAN PO ANG KOTSE NATINR ,1812,"['kailan', 'po', 'ang', 'kots', 'natinr']"
4,KAILAN PO ANG KOTSE NATINR ,1812,"['kailan', 'po', 'ang', 'kots', 'natinr']"
3,Truing ga Nguroicuotcing Cuoi ,3250,"['tru', 'ga', 'nguroicuotc', 'cuoi']"
4,Tap: 15 Tim Ra Vua Pizza ,636,"['tap', ':', '15', 'tim', 'ra', 'vua', 'pizza']"
2,#Stay home vlog 1 ,725,"['#', 'stay', 'home', 'vlog', '1']"
4,  ,0,[]
2,"VLOG Una semang "" ... vida ",1033,"['vlog', 'una', 'semang', '``', '...', 'vida']"
2,DUBAI VLOG #3 BEACU GREEK PARTU CLUB ,3097,"['dubai', 'vlog', '#', '3', 'beacu', 'greek', 'partu', 'club']"
4,CHEAP VS EXPENSIVE evian ,1443,"['cheap', 'vs', 'expens', 'evian']"
2,BIRTHDAY VLOG N ,620,"['birthday', 'vlog', 'n']"
2,24H Sir AVEC NOUS ,734,"['24h', 'sir', 'avec', 'nou']"
2,La Bringue ,340,"['la', 'bringu']"
4,  ,0,[]
3,  ,0,[]
2,Vi ufa KE sich aid NAARAZ HO ITS ,1367,"['vi', 'ufa', 'ke', 'sich', 'aid', 'naaraz', 'ho', 'it']"
3,  ,0,[]
3,  ,0,[]
3,  ,0,[]
2,MOVING VLOG3 ,417,"['move', 'vlog3']"
2,IK VOND HET HEEL ENG! ,263,"['ik', 'vond', 'het', 'heel', 'eng', '!']"
4,1.55 9 SAO. 180 130 1 SAO 120 Cam Tral Theo Chieu Cao 110 100 10 Trieu So an en vs 50 10k 30 to 10 ,3406,"['1.55', '9', 'sao', '.', '180', '130', '1', 'sao', '120', 'cam', 'tral', 'theo', 'chieu', 'cao', '110', '100', '10', 'trieu', 'so', 'an', 'en', 'vs', '50', '10k', '30', 'to', '10']"
3,Birthday Viog HAPPY D ,581,"['birthday', 'viog', 'happi', 'd']"
2,VLOG Anniversaire MAD copain If ,3571,"['vlog', 'anniversair', 'mad', 'copain', 'if']"
2,What's In Our Bags? ,1258,"['what', ""'s"", 'in', 'our', 'bag', '?']"
3,GIRL SUMMER FULL DAY OF EATING yum ,2445,"['girl', 'summer', 'full', 'day', 'of', 'eat', 'yum']"
3,VLOG #11 soneva KIRI WITH Alrisaa Oatnithi X ,2061,"['vlog', '#', '11', 'soneva', 'kiri', 'with', 'alrisaa', 'oatnithi', 'x']"
3,5012 ,166,['5012']
3,BAHAYNI MOMMY TONI ,1975,"['bahayni', 'mommi', 'toni']"
2,  ,0,[]
4,Kya karu? Singing chhor du? chicken Kaise lage sofe? puldo recipo ,2538,"['kya', 'karu', '?', 'sing', 'chhor', 'du', '?', 'chicken', 'kais', 'lage', 'sofe', '?', 'puldo', 'recipo']"
4,  ,0,[]
1,VLOG 2DAYS ,3024,"['vlog', '2day']"
2,wracamy do szkoly bol tragedia meka masakra ,2118,"['wracami', 'do', 'szkoli', 'bol', 'tragedia', 'meka', 'masakra']"
2,Camy vlog andoy in my life my ,609,"['cami', 'vlog', 'andoy', 'in', 'my', 'life', 'my']"
2,EXP VIOG wow! ,1107,"['exp', 'viog', 'wow', '!']"
2,STUDY EXAM WEEK Ulog ,1332,"['studi', 'exam', 'week', 'ulog']"
3,R U B Y S EID 2021 VLOG # # 3 ,579,"['r', 'u', 'b', 'y', 's', 'eid', '2021', 'vlog', '#', '#', '3']"
3,FENOMENLER TOPLANDIK YENI isiM ,725,"['fenomenl', 'toplandik', 'yeni', 'isim']"
4,  ,0,[]
3,Farm FAM with my ,2677,"['farm', 'fam', 'with', 'my']"
2,My day off What did i do on my day My campus off ??? My dinner ,1831,"['my', 'day', 'off', 'what', 'did', 'i', 'do', 'on', 'my', 'day', 'my', 'campu', 'off', '?', '?', '?', 'my', 'dinner']"
2,  ,0,[]
2,WEK ,49,['wek']
4,Happy Mother's Tough Mamas ,556,"['happi', 'mother', ""'s"", 'tough', 'mama']"
3,HONGYU VIOG ,258,"['hongyu', 'viog']"
2,Eurosision EPISODE #06 CONTEST ,932,"['eurosis', 'episod', '#', '06', 'contest']"
3,ROOM! TOUR WITH TITO VINCE ,2596,"['room', '!', 'tour', 'with', 'tito', 'vinc']"
2,LOLA VS. WAKO ,1259,"['lola', 'vs.', 'wako']"
4,CREATING PLAY BUTTON ,327,"['creat', 'play', 'button']"
2,"Smoothin Bown Morgenroutine ""stretching 10 53 ",4570,"['smoothin', 'bown', 'morgenroutin', '``', 'stretch', '10', '53']"
3,WHEEL DARE I Drive Date cat # ,1562,"['wheel', 'dare', 'i', 'drive', 'date', 'cat', '#']"
4,"BE HAV WOME Into N DON' MAKE HISTO Room, Your ",2255,"['be', 'hav', 'wome', 'into', 'n', 'don', ""'"", 'make', 'histo', 'room', ',', 'your']"
3,AKU JUMPA HANTU ,851,"['aku', 'jumpa', 'hantu']"
3,My Lovely Family LIKE Where Vlog ,3696,"['my', 'love', 'famili', 'like', 'where', 'vlog']"
3,DO-FUN w/ PEMAIN ANTARES ,790,"['do-fun', 'w/', 'pemain', 'antar']"
3,Med Student's Vlog 7 ,1075,"['med', 'student', ""'s"", 'vlog', '7']"
2,  ,0,[]
3,#1 SAFAR 2021 ,1019,"['#', '1', 'safar', '2021']"
2,Girls Night inHolland GIRLS VLOG beef faufAutobahn mit Erika ich raste aus ,1413,"['girl', 'night', 'inholland', 'girl', 'vlog', 'beef', 'faufautobahn', 'mit', 'erika', 'ich', 'rast', 'au']"
3,MY SISTER BREAKUP STORY ,1344,"['my', 'sister', 'breakup', 'stori']"
3,"vlog: mercado, receita, sozinha! pintando cabelo ",1739,"['vlog', ':', 'mercado', ',', 'receita', ',', 'sozinha', '!', 'pintando', 'cabelo']"
4,  ,0,[]
4,MAHIGIT ANG SAKIT SA BULSA! 300K EXTREME ,2130,"['mahigit', 'ang', 'sakit', 'sa', 'bulsa', '!', '300k', 'extrem']"
3,HYBE DAPET ADA ALAMAT RUMAH PHOTOCARD! MEMBER BTS?! TYBE INSIGHT BAJU YANG PERNAH DIPAKE BTS KONSER! ,3853,"['hybe', 'dapet', 'ada', 'alamat', 'rumah', 'photocard', '!', 'member', 'bt', '?', '!', 'tybe', 'insight', 'baju', 'yang', 'pernah', 'dipak', 'bt', 'konser', '!']"
3,  ,0,[]
4,  ,0,[]
4,FAMILY RECIPE COOKING CHICKEN WITH MAMA ,1292,"['famili', 'recip', 'cook', 'chicken', 'with', 'mama']"
4,MOTHER'S DAY PRANK ,1271,"['mother', ""'s"", 'day', 'prank']"
2,INVASION!! ,1969,"['invas', '!', '!']"
3,NGAWIT NA NGAWIT NAKO!!! 24 HOURS INAKA-SMILE CHALLENGE ,1044,"['ngawit', 'na', 'ngawit', 'nako', '!', '!', '!', '24', 'hour', 'inaka-smil', 'challeng']"
3,  ,0,[]
4,  ,0,[]
2,  ,0,[]
2,DVE DETI TYDENNI VLOG ,979,"['dve', 'deti', 'tydenni', 'vlog']"
2,celebrating Eid Alone ,1161,"['celebr', 'eid', 'alon']"
3,Tang BANXOA Dan De Quay Tro Lai Voi Dam Me ,1395,"['tang', 'banxoa', 'dan', 'de', 'quay', 'tro', 'lai', 'voi', 'dam', 'me']"
1,weekend vlog ,398,"['weekend', 'vlog']"
3,aggers WHAT IT TAKES TO WIN D 27 IN THE MLB NOT LOGO MY DONT FINE ME ,3014,"['agger', 'what', 'it', 'take', 'to', 'win', 'd', '27', 'in', 'the', 'mlb', 'not', 'logo', 'my', 'dont', 'fine', 'me']"
3,FORSTE FEST 0 LEJLIGHEDEN REKLAME ,2192,"['forst', 'fest', '0', 'lejligheden', 'reklam']"
3,  ,0,[]
3,a Enjoy in 4k quality ,885,"['a', 'enjoy', 'in', '4k', 'qualiti']"
2,  ,0,[]
3,"MANALONG P500 CODE BINATION IIVAX YAN' GIVEAWAYS VLOG# 96 VLOGGERS PINA-IYAK SI KAFRESHNESSI DOLAINAB, BEKS. BATTALION. DONEKLA. SKUSTA LEE,BULLY CRAWFORD ",4665,"['manalong', 'p500', 'code', 'binat', 'iivax', 'yan', ""'"", 'giveaway', 'vlog', '#', '96', 'vlogger', 'pina-iyak', 'si', 'kafreshnessi', 'dolainab', ',', 'bek', '.', 'battalion', '.', 'donekla', '.', 'skusta', 'lee', ',', 'bulli', 'crawford']"
2,NOSSO DOMINGO ,1417,"['nosso', 'domingo']"
2,Moving Vlog ,1041,"['move', 'vlog']"
3,Sally's TURKEI VLOG ,573,"['salli', ""'s"", 'turkei', 'vlog']"
3,Mi TOM SAP MAT MANG GIAY KHEN TOO TAN NHA! DO BAG GAU 100.000 VA CAL KET.! ,3348,"['mi', 'tom', 'sap', 'mat', 'mang', 'giay', 'khen', 'too', 'tan', 'nha', '!', 'do', 'bag', 'gau', '100.000', 'va', 'cal', 'ket', '.', '!']"
2,KiNDERWAGEN VOOR BABY! ,1429,"['kinderwagen', 'voor', 'babi', '!']"
3,weekend MOTHER'S DAY ,1506,"['weekend', 'mother', ""'s"", 'day']"
1,self care car VLOG NOVE ON OBRAZY NAKUP OBLECENT ZARA ,5357,"['self', 'care', 'car', 'vlog', 'nove', 'on', 'obrazi', 'nakup', 'oblec', 'zara']"
2,8 ,20,['8']
4,  ,0,[]
4,Aaj to Vlog Aana Hi Tha ,2416,"['aaj', 'to', 'vlog', 'aana', 'hi', 'tha']"
2,  ,0,[]
2,12 ,104,['12']
2,VL G Grocery Shopping With Julie in 30Min Curfew!? During Lockdown (It Randomly Turned out as a Challenge) Challenge FUN ,3730,"['vl', 'g', 'groceri', 'shop', 'with', 'juli', 'in', '30min', 'curfew', '!', '?', 'dure', 'lockdown', '(', 'it', 'randomli', 'turn', 'out', 'as', 'a', 'challeng', ')', 'challeng', 'fun']"
3,  ,0,[]
4,RICH v/s POOR ,1128,"['rich', 'v/', 'poor']"
2,A MOTHER'S LIFE You Tabe AshaSudarsan ,1011,"['a', 'mother', ""'s"", 'life', 'you', 'tabe', 'ashasudarsan']"
4,DON'T it THINK ANUNG NANGYARi SA BUHOK Ni iON? DUN VICE GANDA ,2903,"['do', ""n't"", 'it', 'think', 'anung', 'nangyari', 'sa', 'buhok', 'ni', 'ion', '?', 'dun', 'vice', 'ganda']"
3,Rona start ,1452,"['rona', 'start']"
3,COOKIES vlog lebaran taman does samadhon. last day of Sholot Eid ,2818,"['cooki', 'vlog', 'lebaran', 'taman', 'doe', 'samadhon', '.', 'last', 'day', 'of', 'sholot', 'eid']"
2,Ena Luna VLOG I PROMENI PITANJE ,859,"['ena', 'luna', 'vlog', 'i', 'promeni', 'pitanj']"
2,moonvlog smarigold ,451,"['moonvlog', 'smarigold']"
4,"At Last! Dumating Na ""Hindi na ako bunso OF wang NEW BLESSING ",5035,"['at', 'last', '!', 'dumat', 'na', '``', 'hindi', 'na', 'ako', 'bunso', 'of', 'wang', 'new', 'bless']"
3,  ,0,[]
4,  ,0,[]
4,SORRYPO I-NINTERVIEW AKO ,1875,"['sorrypo', 'i-ninterview', 'ako']"
2,  ,0,[]
2,-more bad news ,1518,"['-more', 'bad', 'news']"
4,1977 VLOG ,97,"['1977', 'vlog']"
4,aipur Golden there LEGAL NOTICE ,2089,"['aipur', 'golden', 'there', 'legal', 'notic']"
3,R Depok Purwakart Sukahumi Bandung West Garl Surabay Ta Past A Kediri D Mr PERJALANAN PENHH PERJUANGAN ,1623,"['r', 'depok', 'purwakart', 'sukahumi', 'bandung', 'west', 'garl', 'surabay', 'ta', 'past', 'a', 'kediri', 'd', 'mr', 'perjalanan', 'penhh', 'perjuangan']"
3,  ,0,[]
3,VLOG SA KAMPA *upali u jezero ,1782,"['vlog', 'sa', 'kampa', '*', 'upali', 'u', 'jezero']"
4,  ,0,[]
3,apartment visit. ,317,"['apart', 'visit', '.']"
3,Cafe vlog un ,766,"['cafe', 'vlog', 'un']"
1,VLOG DE AVELLANEDA ! FLORES ,1063,"['vlog', 'de', 'avellaneda', '!', 'flore']"
2,OKIS ,194,['oki']
4,SO )BLLION PESOS $ ,1481,"['so', ')', 'bllion', 'peso', '$']"
3,  ,0,[]
3,LOUIS VUITTON ,144,"['loui', 'vuitton']"
4,I'M BACK! ,775,"['i', ""'m"", 'back', '!']"
3,POWROT DO SZKOLY PO 7 MIESIACACH ,1314,"['powrot', 'do', 'szkoli', 'po', '7', 'miesiacach']"
2,VLOG Nove vlasy & Nakupy ,966,"['vlog', 'nove', 'vlasi', '&', 'nakupi']"
3,30TL RAPSUL OTEL ,2275,"['30tl', 'rapsul', 'otel']"
1,  ,0,[]
3,inueva MASCOTA! ,1028,"['inueva', 'mascota', '!']"
3,  ,0,[]
3,R O B Y S EID 2021 VLOG #2 ,561,"['r', 'o', 'b', 'y', 's', 'eid', '2021', 'vlog', '#', '2']"
4,FARM UPDATE ,1326,"['farm', 'updat']"
2,A day in my life HAV TIME ,1178,"['a', 'day', 'in', 'my', 'life', 'hav', 'time']"
4,SONAMBULA... REC ,665,"['sonambula', '...', 'rec']"
3,DOLL HOUSE TOUR ,1730,"['doll', 'hous', 'tour']"
3,Ga Hap Chanh Xa ,716,"['ga', 'hap', 'chanh', 'xa']"
4,  ,0,[]
3,BAGONG LARUAN?! ION PERE ,807,"['bagong', 'laruan', '?', '!', 'ion', 'pere']"
2,DUBAI VLOG #3 3ff shopping FIRST DESIGNCR ENC ,1268,"['dubai', 'vlog', '#', '3', '3ff', 'shop', 'first', 'designcr', 'enc']"
4,  ,0,[]
3,MINA What's In Our Bags? LVL ,1838,"['mina', 'what', ""'s"", 'in', 'our', 'bag', '?', 'lvl']"
3,EL CUMPLE DE LA SUEGRA ,1062,"['el', 'cumpl', 'de', 'la', 'suegra']"
2,WORLD'S LONGEST ay ANISH SINCH THAKUD ,2294,"['world', ""'s"", 'longest', 'ay', 'anish', 'sinch', 'thakud']"
3,YAZ igin ALISVERIS VLOG ,1303,"['yaz', 'igin', 'alisveri', 'vlog']"
1,exercicios t 1958 como faco minhas revisoes fichas pautadas ,843,"['exercicio', 't', '1958', 'como', 'faco', 'minha', 'reviso', 'ficha', 'pautada']"
3,#CHOELOS Mog chaneul ,868,"['#', 'choelo', 'mog', 'chaneul']"
2,weekly VLOG ,1302,"['weekli', 'vlog']"
3,BUKA PUASA SHOOTING DI LOKASI ,725,"['buka', 'puasa', 'shoot', 'di', 'lokasi']"
4,Eid Vlog ,3183,"['eid', 'vlog']"
