views,content,area,content_tokens
3,Sweets How ,3,"['sweet', 'how']"
4,  ,0,[]
3,  ,0,[]
3,I 6AM school morning routine ,3,"['i', '6am', 'school', 'morn', 'routin']"
2,  ,0,[]
3,NHi chahaiyes ,3,"['nhi', 'chahaiy']"
3,a week in my life ,2,"['a', 'week', 'in', 'my', 'life']"
2,KONECNE HOTOW koupelna ,3,"['konecn', 'hotow', 'koupelna']"
3,shopping + coffee shops day in my life living in LA ,3,"['shop', '+', 'coffe', 'shop', 'day', 'in', 'my', 'life', 'live', 'in', 'la']"
4,  ,0,[]
3,  ,0,[]
4,  ,0,[]
2,uaily vlog ,3,"['uaili', 'vlog']"
3,A YEAR OLDER! ,2,"['a', 'year', 'older', '!']"
3,"OXFORD ""UNIVERSITY move in vlog 2020 ",3,"['oxford', '``', 'univers', 'move', 'in', 'vlog', '2020']"
3,a week in my life ,2,"['a', 'week', 'in', 'my', 'life']"
3,  ,0,[]
2,2FLT842 VLOG ,2,"['2flt842', 'vlog']"
4,GRADUATIONY ,2,['graduationi']
2,  ,0,[]
3,Meet our son ,3,"['meet', 'our', 'son']"
2,VLOG Vikend chate na ,3,"['vlog', 'vikend', 'chate', 'na']"
2,NA KOSMETICE of NAS NAKUP ,2,"['na', 'kosmetic', 'of', 'na', 'nakup']"
3,I'm Comfortable ,2,"['i', ""'m"", 'comfort']"
2,  ,0,[]
2,Ena Luna VLOG I PROMENI PITANJE ,2,"['ena', 'luna', 'vlog', 'i', 'promeni', 'pitanj']"
3,CAR ACCIDENT IN FRONT OF ME ,3,"['car', 'accid', 'in', 'front', 'of', 'me']"
2,BRO KLAN ,2,"['bro', 'klan']"
3,CADE ,1,['cade']
2,DUBAI VLOG #4 santorint vibes ,2,"['dubai', 'vlog', '#', '4', 'santorint', 'vibe']"
2,universitanio esame cibo VLOGFirenze musei shopping foto ,3,"['universitanio', 'esam', 'cibo', 'vlogfirenz', 'musei', 'shop', 'foto']"
4,  ,0,[]
3,Covishield? Covaxin? Sputnik ,2,"['covishield', '?', 'covaxin', '?', 'sputnik']"
2,Lockdown Routine ,4,"['lockdown', 'routin']"
3,A DE ,2,"['a', 'de']"
3,NOS SEPARAMOC TODA VERDADE Aeropostale ORIGINAL EYE BRANG ,4,"['no', 'separamoc', 'toda', 'verdad', 'aeropostal', 'origin', 'eye', 'brang']"
3,ve NHA ,2,"['ve', 'nha']"
2,UPSC PREP 12 36 INDIAN POLITY 12 am STUDY VLOG tips to read and memorise effectively Study_challenge? ,3,"['upsc', 'prep', '12', '36', 'indian', 'politi', '12', 'am', 'studi', 'vlog', 'tip', 'to', 'read', 'and', 'memoris', 'effect', 'study_challeng', '?']"
3,vold CANTANDO Y ENTONANDO CON EL CAMPEON ,3,"['vold', 'cantando', 'y', 'entonando', 'con', 'el', 'campeon']"
4,DG ,2,['dg']
3,Kiya gir gayah ,3,"['kiya', 'gir', 'gayah']"
3,BTSH ,2,['btsh']
3,Nog no ,2,"['nog', 'no']"
3,600k done ,2,"['600k', 'done']"
2,"bienvenue dans ma vie RODE internat, routine, bac, tournage ",3,"['bienvenu', 'dan', 'ma', 'vie', 'rode', 'internat', ',', 'routin', ',', 'bac', ',', 'tournag']"
3,Nasil spor haaa! yapiyorsun?! ,3,"['nasil', 'spor', 'haaa', '!', 'yapiyorsun', '?', '!']"
3,  ,0,[]
1,part 4 6 6 olog Sp Adobe Spark ,3,"['part', '4', '6', '6', 'olog', 'sp', 'adob', 'spark']"
3,Jinku WITH 'PINAKA' INTERVIEW WITH JINKEE PACOUIAO ,3,"['jinku', 'with', ""'pinaka"", ""'"", 'interview', 'with', 'jinke', 'pacouiao']"
4,KAILAN PO ANG KOTSE NATINR ,3,"['kailan', 'po', 'ang', 'kots', 'natinr']"
4,KAILAN PO ANG KOTSE NATINR ,3,"['kailan', 'po', 'ang', 'kots', 'natinr']"
3,Truing ga Nguroicuotcing Cuoi ,4,"['tru', 'ga', 'nguroicuotc', 'cuoi']"
4,Tap: 15 Tim Ra Vua Pizza ,2,"['tap', ':', '15', 'tim', 'ra', 'vua', 'pizza']"
2,#Stay home vlog 1 ,2,"['#', 'stay', 'home', 'vlog', '1']"
4,  ,0,[]
2,"VLOG Una semang "" ... vida ",3,"['vlog', 'una', 'semang', '``', '...', 'vida']"
2,DUBAI VLOG #3 BEACU GREEK PARTU CLUB ,4,"['dubai', 'vlog', '#', '3', 'beacu', 'greek', 'partu', 'club']"
4,CHEAP VS EXPENSIVE evian ,3,"['cheap', 'vs', 'expens', 'evian']"
2,BIRTHDAY VLOG N ,2,"['birthday', 'vlog', 'n']"
2,24H Sir AVEC NOUS ,2,"['24h', 'sir', 'avec', 'nou']"
2,La Bringue ,2,"['la', 'bringu']"
4,  ,0,[]
3,  ,0,[]
2,Vi ufa KE sich aid NAARAZ HO ITS ,3,"['vi', 'ufa', 'ke', 'sich', 'aid', 'naaraz', 'ho', 'it']"
3,  ,0,[]
3,  ,0,[]
3,  ,0,[]
2,MOVING VLOG3 ,2,"['move', 'vlog3']"
2,IK VOND HET HEEL ENG! ,2,"['ik', 'vond', 'het', 'heel', 'eng', '!']"
4,1.55 9 SAO. 180 130 1 SAO 120 Cam Tral Theo Chieu Cao 110 100 10 Trieu So an en vs 50 10k 30 to 10 ,4,"['1.55', '9', 'sao', '.', '180', '130', '1', 'sao', '120', 'cam', 'tral', 'theo', 'chieu', 'cao', '110', '100', '10', 'trieu', 'so', 'an', 'en', 'vs', '50', '10k', '30', 'to', '10']"
3,Birthday Viog HAPPY D ,2,"['birthday', 'viog', 'happi', 'd']"
2,VLOG Anniversaire MAD copain If ,4,"['vlog', 'anniversair', 'mad', 'copain', 'if']"
2,What's In Our Bags? ,3,"['what', ""'s"", 'in', 'our', 'bag', '?']"
3,GIRL SUMMER FULL DAY OF EATING yum ,3,"['girl', 'summer', 'full', 'day', 'of', 'eat', 'yum']"
3,VLOG #11 soneva KIRI WITH Alrisaa Oatnithi X ,3,"['vlog', '#', '11', 'soneva', 'kiri', 'with', 'alrisaa', 'oatnithi', 'x']"
3,5012 ,2,['5012']
3,BAHAYNI MOMMY TONI ,3,"['bahayni', 'mommi', 'toni']"
2,  ,0,[]
4,Kya karu? Singing chhor du? chicken Kaise lage sofe? puldo recipo ,3,"['kya', 'karu', '?', 'sing', 'chhor', 'du', '?', 'chicken', 'kais', 'lage', 'sofe', '?', 'puldo', 'recipo']"
4,  ,0,[]
1,VLOG 2DAYS ,4,"['vlog', '2day']"
2,wracamy do szkoly bol tragedia meka masakra ,3,"['wracami', 'do', 'szkoli', 'bol', 'tragedia', 'meka', 'masakra']"
2,Camy vlog andoy in my life my ,2,"['cami', 'vlog', 'andoy', 'in', 'my', 'life', 'my']"
2,EXP VIOG wow! ,3,"['exp', 'viog', 'wow', '!']"
2,STUDY EXAM WEEK Ulog ,3,"['studi', 'exam', 'week', 'ulog']"
3,R U B Y S EID 2021 VLOG # # 3 ,2,"['r', 'u', 'b', 'y', 's', 'eid', '2021', 'vlog', '#', '#', '3']"
3,FENOMENLER TOPLANDIK YENI isiM ,2,"['fenomenl', 'toplandik', 'yeni', 'isim']"
4,  ,0,[]
3,Farm FAM with my ,3,"['farm', 'fam', 'with', 'my']"
2,My day off What did i do on my day My campus off ??? My dinner ,3,"['my', 'day', 'off', 'what', 'did', 'i', 'do', 'on', 'my', 'day', 'my', 'campu', 'off', '?', '?', '?', 'my', 'dinner']"
2,  ,0,[]
2,WEK ,1,['wek']
4,Happy Mother's Tough Mamas ,2,"['happi', 'mother', ""'s"", 'tough', 'mama']"
3,HONGYU VIOG ,2,"['hongyu', 'viog']"
2,Eurosision EPISODE #06 CONTEST ,2,"['eurosis', 'episod', '#', '06', 'contest']"
3,ROOM! TOUR WITH TITO VINCE ,3,"['room', '!', 'tour', 'with', 'tito', 'vinc']"
2,LOLA VS. WAKO ,3,"['lola', 'vs.', 'wako']"
4,CREATING PLAY BUTTON ,2,"['creat', 'play', 'button']"
2,"Smoothin Bown Morgenroutine ""stretching 10 53 ",4,"['smoothin', 'bown', 'morgenroutin', '``', 'stretch', '10', '53']"
3,WHEEL DARE I Drive Date cat # ,3,"['wheel', 'dare', 'i', 'drive', 'date', 'cat', '#']"
4,"BE HAV WOME Into N DON' MAKE HISTO Room, Your ",3,"['be', 'hav', 'wome', 'into', 'n', 'don', ""'"", 'make', 'histo', 'room', ',', 'your']"
3,AKU JUMPA HANTU ,2,"['aku', 'jumpa', 'hantu']"
3,My Lovely Family LIKE Where Vlog ,4,"['my', 'love', 'famili', 'like', 'where', 'vlog']"
3,DO-FUN w/ PEMAIN ANTARES ,2,"['do-fun', 'w/', 'pemain', 'antar']"
3,Med Student's Vlog 7 ,3,"['med', 'student', ""'s"", 'vlog', '7']"
2,  ,0,[]
3,#1 SAFAR 2021 ,3,"['#', '1', 'safar', '2021']"
2,Girls Night inHolland GIRLS VLOG beef faufAutobahn mit Erika ich raste aus ,3,"['girl', 'night', 'inholland', 'girl', 'vlog', 'beef', 'faufautobahn', 'mit', 'erika', 'ich', 'rast', 'au']"
3,MY SISTER BREAKUP STORY ,3,"['my', 'sister', 'breakup', 'stori']"
3,"vlog: mercado, receita, sozinha! pintando cabelo ",3,"['vlog', ':', 'mercado', ',', 'receita', ',', 'sozinha', '!', 'pintando', 'cabelo']"
4,  ,0,[]
4,MAHIGIT ANG SAKIT SA BULSA! 300K EXTREME ,3,"['mahigit', 'ang', 'sakit', 'sa', 'bulsa', '!', '300k', 'extrem']"
3,HYBE DAPET ADA ALAMAT RUMAH PHOTOCARD! MEMBER BTS?! TYBE INSIGHT BAJU YANG PERNAH DIPAKE BTS KONSER! ,4,"['hybe', 'dapet', 'ada', 'alamat', 'rumah', 'photocard', '!', 'member', 'bt', '?', '!', 'tybe', 'insight', 'baju', 'yang', 'pernah', 'dipak', 'bt', 'konser', '!']"
3,  ,0,[]
4,  ,0,[]
4,FAMILY RECIPE COOKING CHICKEN WITH MAMA ,3,"['famili', 'recip', 'cook', 'chicken', 'with', 'mama']"
4,MOTHER'S DAY PRANK ,3,"['mother', ""'s"", 'day', 'prank']"
2,INVASION!! ,3,"['invas', '!', '!']"
3,NGAWIT NA NGAWIT NAKO!!! 24 HOURS INAKA-SMILE CHALLENGE ,3,"['ngawit', 'na', 'ngawit', 'nako', '!', '!', '!', '24', 'hour', 'inaka-smil', 'challeng']"
3,  ,0,[]
4,  ,0,[]
2,  ,0,[]
2,DVE DETI TYDENNI VLOG ,2,"['dve', 'deti', 'tydenni', 'vlog']"
2,celebrating Eid Alone ,3,"['celebr', 'eid', 'alon']"
